state,value,amount
Hokkaido,814,0
Aomori,1093,1
Iwate,1030,1
Miyagi,1390,1
Akita,1567,1
Yamagata,1262,1
Fukushima,1463,1
Ibaraki,1391,1
Tochigi,1868,1
Gunma,1448,1
Saitama,1574,1
Chiba,1697,1
Tokyo,1874,1
Kanagawa,1937,1
Niigata,1352,1
Toyama,2098,2
Ishikawa,2010,2
Fukui,1852,1
Yamanashi,1168,1
Nagano,1006,1
Gifu,1798,1
Shizuoka,1391,1
Aichi,1556,1
Mie,1639,1
Shiga,1494,1
Kyoto,1408,1
Osaka,1219,1
Hyogo,1178,1
Nara,1483,1
Wakayama,1626,1
Tottori,1537,1
Shimane,1491,1
Okayama,922,0
Hiroshima,1382,1
Yamaguchi,1975,1
Tokushima,1543,1
Kagawa,928,0
Ehime,1145,1
Koti,2539,2
Fukuoka,1609,1
Saga,2078,2
Nagasaki,1788,1
Kumamoto,2026,2
Oita,1753,1
Miyazaki,3045,3
Kagoshima,2470,2
Okinawa,2637,2
