state,value,amount
Hokkaido,1204,1
Aomori,1484,1
Iwate,1280,1
Miyagi,1417,1
Akita,1738,1
Yamagata,1337,1
Fukushima,1366,1
Ibaraki,1471,1
Tochigi,1764,1
Gunma,1396,1
Saitama,1445,1
Chiba,1496,1
Tokyo,1808,1
Kanagawa,1860,1
Niigata,1984,1
Toyama,2535,2
Ishikawa,2635,2
Fukui,2464,2
Yamanashi,1190,1
Nagano,902,0
Gifu,1719,1
Shizuoka,2374,2
Aichi,1506,1
Mie,1589,1
Shiga,1465,1
Kyoto,1377,1
Osaka,1279,1
Hyogo,1222,1
Nara,1321,1
Wakayama,1410,1
Tottori,1890,1
Shimane,1819,1
Okayama,1143,1
Hiroshima,1573,1
Yamaguchi,1716,1
Tokushima,2534,2
Kagawa,1229,1
Ehime,1418,1
Koti,3659,3
Fukuoka,1766,1
Saga,2252,2
Nagasaki,2133,2
Kumamoto,1694,1
Oita,1613,1
Miyazaki,2731,2
Kagoshima,2834,2
Okinawa,2584,2
