state,value,amount
Hokkaido,1444,1
Aomori,1406,1
Iwate,1417,1
Miyagi,1186,1
Akita,1562,1
Yamagata,1165,1
Fukushima,1291,1
Ibaraki,1400,1
Tochigi,1633,1
Gunma,1163,1
Saitama,1608,1
Chiba,1329,1
Tokyo,1603,1
Kanagawa,1557,1
Niigata,1641,1
Toyama,1954,1
Ishikawa,2126,2
Fukui,1976,1
Yamanashi,1479,1
Nagano,848,0
Gifu,1679,1
Shizuoka,2305,2
Aichi,1735,1
Mie,1600,1
Shiga,1306,1
Kyoto,1368,1
Osaka,1163,1
Hyogo,1026,1
Nara,1320,1
Wakayama,1414,1
Tottori,1925,1
Shimane,1567,1
Okayama,813,0
Hiroshima,1138,1
Yamaguchi,1387,1
Tokushima,1337,1
Kagawa,856,0
Ehime,1150,1
Koti,2500,2
Fukuoka,1344,1
Saga,1710,1
Nagasaki,1560,1
Kumamoto,1825,1
Oita,1458,1
Miyazaki,1594,1
Kagoshima,2667,2
Okinawa,2613,2
