state,value,amount
Hokkaido,1282,1
Aomori,1553,1
Iwate,1322,1
Miyagi,1082,1
Akita,2017,2
Yamagata,1124,1
Fukushima,828,0
Ibaraki,1283,1
Tochigi,1257,1
Gunma,1047,1
Saitama,1109,1
Chiba,1261,1
Tokyo,1446,1
Kanagawa,1574,1
Niigata,1796,1
Toyama,2751,2
Ishikawa,2766,2
Fukui,2632,2
Yamanashi,1154,1
Nagano,886,0
Gifu,2087,2
Shizuoka,2442,2
Aichi,1696,1
Mie,1720,1
Shiga,1768,1
Kyoto,1770,1
Osaka,1652,1
Hyogo,2038,2
Nara,1647,1
Wakayama,1951,1
Tottori,2184,2
Shimane,1977,1
Okayama,1410,1
Hiroshima,1879,1
Yamaguchi,1940,1
Tokushima,1760,1
Kagawa,1575,1
Ehime,1797,1
Koti,3093,3
Fukuoka,1617,1
Saga,1877,1
Nagasaki,1821,1
Kumamoto,1950,1
Oita,1663,1
Miyazaki,3167,3
Kagoshima,2397,2
Okinawa,2469,2
